Accession	ID	Name	TFs	EnsemblID
M01116	CLOCKBMAL_Q6	CLOCK:BMAL	ARNTL;ARNTL2;CLOCK	ENSG00000133794;ENSG00000029153;ENSG00000134852
M01117	OTX_Q1	OTX	OTX1;OTX2	ENSG00000115507;ENSG00000165588
M01118	WT1_Q6	WT1	WT1	ENSG00000184937
M01119	KAISO_01	Kaiso	ZBTB33	ENSG00000177485
M01122	ZNF219_01	ZNF219	ZNF219	ENSG00000165804
M01123	NANOG_01	Nanog	NANOG	ENSG00000111704
M01124	OCT4_02	Oct-4 (POU5F1)	POU5F1	ENSG00000204531
M01125	OCT4_01	Oct-4 (POU5F1)	POU5F1	ENSG00000204531
M01127	ISL1_Q6	islet1	ISL1	ENSG00000016082
M01131	SOX10_Q6	Sox-10	SOX10	ENSG00000100146
M01132	SF1_Q6_01	SF-1	SF1	ENSG00000168066
M01137	FOXO3A_Q1	FOXO3A	FOXO3	ENSG00000118689
M01138	RORA_Q4	RORalpha	RORA	ENSG00000069667
M01139	LMAF_Q2	LMAF	MAFA	ENSG00000182759
M01142	LRH1_Q5	LRH1	NR5A2	ENSG00000116833
M01145	CMYC_01	c-Myc	MYC	ENSG00000136997
M01146	DMRT1_01	DMRT1	DMRT1	ENSG00000137090
M01147	DMRT2_01	DMRT2	DMRT2	ENSG00000173253
M01148	DMRT3_01	DMRT3	DMRT3	ENSG00000064218
M01149	DMRT4_01	DMRT4	DMRTA1	ENSG00000176399
M01150	DMRT5_01	DMRT5	DMRTA2	ENSG00000142700
M01151	DMRT7_01	DMRT7	DMRTC2	ENSG00000142025
M01152	PXRRXR_01	RXR (PXR:RXR)	NR1I2;RXRA	ENSG00000144852;ENSG00000186350
M01153	PXRRXR_02	PXR (PXR:RXR)	NR1I2;RXRA	ENSG00000144852;ENSG00000186350
M01154	CMYC_02	c-Myc	MYC	ENSG00000136997
M01160	KID3_01	Kid3	ZNF354C	ENSG00000177932
M01162	OG2_01	OG-2	NOBOX	ENSG00000106410
M01163	ELK1_03	Elk-1	ELK1	ENSG00000126767
M01165	ELK1_04	Elk-1	ELK1	ENSG00000126767
M01167	SAP1A_01	SAP-1a	ELK4	ENSG00000158711
M01168	SREBP_Q6	SREBP	SREBF1;SREBF2	ENSG00000072310;ENSG00000198911
M01169	IK_Q5	Ikaros	IKZF1	ENSG00000185811
M01171	BCL6_Q3	BCL6	BCL6	ENSG00000113916
M01172	PU1_Q4	PU.1	SPI1	ENSG00000066336
M01173	SREBP1_Q5	SREBP-1	SREBF1	ENSG00000072310
M01175	CKROX_Q2	CKROX	ZBTB7B	ENSG00000160685
M01177	SREBP2_Q6	SREBP-2	SREBF2	ENSG00000198911
M01181	NKX32_01	Nkx3-2	NKX3-2	ENSG00000109705
M01182	MIZF_01	MIZF	HINFP	ENSG00000172273
M01183	BCL6_01	BCL6	BCL6	ENSG00000113916
M01185	BCL6_02	BCL-6	BCL6	ENSG00000113916
M01195	TBX22_01	TBX22	TBX22	ENSG00000122145
M01196	CTF1_01	CTF1	NFIC	ENSG00000141905
M01197	ELF5_01	Elf5	ELF5	ENSG00000135374
M01198	RXRLXRB_01	RXR:LXR-beta	NR1H2	ENSG00000131408
M01199	RNF96_01	RNF96	TRIM28	ENSG00000130726
M01200	CTCF_01	CTCF	CTCF	ENSG00000102974
M01201	AR_04	AR	AR	ENSG00000169083
M01202	VDRRXR_01	VDR:RXR	RXRA;VDR	ENSG00000186350;ENSG00000111424
M01203	SPI1_01	SPI1 (PU1)	SPI1	ENSG00000066336
M01204	SPIB_01	Spi-B	SPIB	ENSG00000269404
M01207	ETS2_Q6	c-Ets-2	ETS2	ENSG00000157557
M01208	FLI1_Q6	FLI-1	FLI1	ENSG00000151702
M01209	GAF_Q6	GAF	FGF9	ENSG00000102678
M01211	PARP_Q3	PARP	PARP1	ENSG00000143799
M01212	STAT1STAT1_Q3	STAT1:STAT1	STAT1	ENSG00000115415
M01214	ESE1_Q3	ESE-1	ELF3	ENSG00000163435
M01216	FOXO1_Q5	FOXO1	FOXG1;FOXO1	ENSG00000176165;ENSG00000150907
M01217	NUR77_Q5	NUR77	NR4A1	ENSG00000123358
M01219	SP1SP3_Q4	SP1:SP3	SP1;SP3	ENSG00000185591;ENSG00000172845
M01220	STAT3STAT3_Q3	STAT3:STAT3	STAT3	ENSG00000168610
